,,close,high,low,open,volume
PAGS,3/20/2019,30.09,30.295,29.4,30.21,1983539
PAGS,3/21/2019,30.78,30.93,29.96,30,1874496
PAGS,3/22/2019,29.59,30.235,29.12,29.68,1749157
PAGS,3/25/2019,28.91,29.4,27.74,29.4,2738876
PAGS,3/26/2019,30.4,30.42,29.34,29.52,1638711
PAGS,3/27/2019,30.61,31.64,30.35,30.84,3277257
PAGS,3/28/2019,30.25,30.84,29.985,30.84,2281817
PAGS,3/29/2019,29.85,30.81,29.78,30.81,1743143
PAGS,04/01/2019,30.31,30.92,29.88,30.45,4188672
PAGS,04/02/2019,29.93,30.54,29.53,30.31,1972022
PAGS,04/03/2019,30.25,31,29.44,29.44,3045971
PAGS,04/04/2019,29.23,30.39,28.78,30.39,2562079
PAGS,04/05/2019,29.03,29.64,28.83,29.32,2486280
PAGS,04/08/2019,28.93,29,28.25,28.73,1602401
PAGS,04/09/2019,28.76,29.24,28.5,28.71,922905
PAGS,04/10/2019,29.1,29.18,28.52,28.7,1500487
PAGS,04/11/2019,28.63,29.24,28.44,29.14,1070258
PAGS,04/12/2019,28.47,28.8916,28.32,28.49,1038321
PAGS,4/15/2019,28.49,28.88,28.12,28.55,784064
PAGS,4/16/2019,28.52,28.84,28.31,28.66,780694
PAGS,4/17/2019,28.03,28.92,27.99,28.77,972140
PAGS,4/18/2019,25.3,26.18,24.26,25.48,13052106
PAGS,4/22/2019,25.68,26.05,24.9501,25.31,2663026
PAGS,4/23/2019,26.31,26.36,25.46,25.74,1741071
PAGS,4/24/2019,26.44,26.62,25.82,26.45,3867744
PAGS,4/25/2019,26.55,26.86,26.04,26.45,1624360
PAGS,4/26/2019,26.59,26.81,25.91,26.43,2714593
PAGS,4/29/2019,26.37,26.72,25.96,26.72,1583610
PAGS,4/30/2019,26.06,26.6,25.95,26.27,1612913
PAGS,05/01/2019,25.97,26.57,25.93,26.18,961488
PAGS,05/02/2019,25.86,26.53,25.59,25.88,1441519
PAGS,05/03/2019,27.15,27.31,25.96,26.06,1507344
PAGS,05/06/2019,27.39,27.61,26.29,26.34,1037324
PAGS,05/07/2019,27.15,27.24,26.69,27.01,997424
PAGS,05/08/2019,27.22,27.57,26.76,26.86,1917483
PAGS,05/09/2019,27.38,27.5075,26.11,26.58,1725754
PAGS,05/10/2019,27.51,27.91,26.88,27.38,2128387
PAGS,5/13/2019,25.91,27.26,25.68,26.76,3494917
PAGS,5/14/2019,25.69,26.87,25.69,26.35,3289260
PAGS,5/15/2019,28.1,28.36,25.74,26.39,4820863
ADBE,3/15/2019,257.09,260,252.03,258.03,12110485
ADBE,3/18/2019,257.76,259.96,253.8901,257.11,4013389
ADBE,3/19/2019,260.42,260.64,256.34,259.43,4257338
ADBE,3/20/2019,259.74,262.3,256.17,260.54,3732580
ADBE,3/21/2019,264.18,264.34,258.4,259,2359850
ADBE,3/22/2019,259.69,264.64,259.52,263.47,3454012
ADBE,3/25/2019,262.27,263.12,257.1,259.21,2639365
ADBE,3/26/2019,265.59,267.74,263.84,265.05,3150072
ADBE,3/27/2019,262.34,265.9731,259.04,265.53,2521923
ADBE,3/28/2019,263.53,265.1699,260.88,263.5,2017976
ADBE,3/29/2019,266.49,266.75,264.2,265.47,2097589
ADBE,04/01/2019,272.17,272.385,268.19,269.85,2970213
ADBE,04/02/2019,271.35,273,267.63,272.89,1877939
ADBE,04/03/2019,271.5,274.18,270.975,273.71,2432780
ADBE,04/04/2019,267.89,271.47,263.72,270.98,2947386
ADBE,04/05/2019,267.45,269.94,266.59,269.44,1970627
ADBE,04/08/2019,268.81,269.09,264.7,266.96,1796796
ADBE,04/09/2019,268.99,269.99,266.8,267.12,1605892
ADBE,04/10/2019,271.58,272.16,269.01,269.47,1469979
ADBE,04/11/2019,271.9,272.92,270.77,271.95,2085789
ADBE,04/12/2019,271.86,273.51,270.82,273.01,1681371
ADBE,4/15/2019,272.22,273.71,270.62,271.86,1462311
ADBE,4/16/2019,271.43,273.39,269.64,273.07,1638464
ADBE,4/17/2019,269.45,272.665,268.44,272.17,2391518
ADBE,4/18/2019,270.57,270.82,266.64,270.09,2028988
ADBE,4/22/2019,272.21,272.32,269.2033,269.82,1364952
ADBE,4/23/2019,278.49,278.89,271.59,272.54,2693942
ADBE,4/24/2019,275.45,280.17,275.25,279.22,1867555
ADBE,4/25/2019,277.66,279.52,274.3785,278.4,1747300
ADBE,4/26/2019,281.96,282,275.79,278.18,2114205
ADBE,4/29/2019,286.14,291.705,285.38,286.46,5592372
ADBE,4/30/2019,289.25,289.77,285.25,286.1,3067976
ADBE,05/01/2019,283.35,291,283.19,291,2056176
ADBE,05/02/2019,279.64,284.59,278.15,283.14,2482283
ADBE,05/03/2019,285.58,286.35,282.39,282.56,1979920
ADBE,05/06/2019,283.66,284.2165,275.81,277.6,1994477
ADBE,05/07/2019,277.07,280.65,273.67,278.82,2567977
ADBE,05/08/2019,276.77,278.37,274.16,275.83,2611043
ADBE,05/09/2019,275.79,277.12,270.7975,274.16,1867193
ADBE,05/10/2019,278.48,279.5,270.32,273.58,2097736
ADBE,5/13/2019,267.7,274.19,267.22,270.565,2698322
ADBE,5/14/2019,271.86,274.23,269.29,269.43,2046551
ADBE,5/15/2019,276.82,276.95,269.5,269.82,2708559
QTT,3/15/2019,15.63,15.63,13.5,13.75,2110857
QTT,3/18/2019,13.57,18,13.42,16.58,3478623
QTT,3/19/2019,14.16,15.5,13.63,14.37,1723498
QTT,3/20/2019,13.47,14.38,13.4,14.32,1401712
QTT,3/21/2019,13.44,13.59,12.97,13.31,667698
QTT,3/22/2019,12.58,13.95,12.34,13.24,1254636
QTT,3/25/2019,13.44,13.55,12.41,12.5,944393
QTT,3/26/2019,11.51,13.5668,11.38,13.37,3474819
QTT,3/27/2019,11.49,11.7228,11.16,11.59,619546
QTT,3/28/2019,11.45,12.3113,11.35,12.25,2043281
QTT,3/29/2019,11.57,11.91,11.45,11.84,1293214
QTT,04/01/2019,10.56,11.7119,10.37,11.48,2366201
QTT,04/02/2019,10.88,10.98,10.57,10.61,1188357
QTT,04/03/2019,10,10.25,9.6,10.13,13161784
QTT,04/04/2019,9.5,10.19,9.08,10.15,5336967
QTT,04/05/2019,9.39,9.6,9.21,9.59,1176937
QTT,04/08/2019,8.95,9.3668,8.75,9.35,2956874
QTT,04/09/2019,8.9,9.1,8.55,8.8,3031602
QTT,04/10/2019,9.08,9.17,8.84,8.89,1881127
QTT,04/11/2019,8.98,9.15,8.83,9.07,1068573
QTT,04/12/2019,8.82,9.18,8.66,9.05,1435410
QTT,4/15/2019,8.74,8.91,8.36,8.77,2532747
QTT,4/16/2019,8.94,9.42,8.82,9.2,2802984
QTT,4/17/2019,9,9.14,8.87,8.93,1456193
QTT,4/18/2019,9,9.17,8.9109,9.02,1103896
QTT,4/22/2019,9,9.085,8.71,8.95,1099287
QTT,4/23/2019,9,9.11,8.9,9,790398
QTT,4/24/2019,8.92,9.0474,8.9,8.98,1338199
QTT,4/25/2019,8.45,8.88,8.11,8.88,2099406
QTT,4/26/2019,7.7,8.41,7.66,8.41,2706110
QTT,4/29/2019,7.18,7.8,7.15,7.68,2338317
QTT,4/30/2019,6.62,7.16,6.455,7.11,3027418
QTT,05/01/2019,6.79,7.16,6.62,6.62,1637643
QTT,05/02/2019,7.16,7.32,6.72,6.84,1596582
QTT,05/03/2019,7.42,7.57,7.18,7.33,1282240
QTT,05/06/2019,6.81,7.25,6.63,6.99,3100669
QTT,05/07/2019,6.24,6.81,6.18,6.81,1381081
QTT,05/08/2019,6.31,6.42,6.05,6.27,1649027
QTT,05/09/2019,6.11,6.22,5.91,6.15,1912003
QTT,05/10/2019,5.83,6.2012,5.64,6.2,2012873
QTT,5/13/2019,5.9,5.96,5.4,5.59,1935889
QTT,5/14/2019,6.05,6.41,5.76,5.98,1977557
QTT,5/15/2019,5.89,6.05,5.81,5.99,1357739
SHOP,3/15/2019,205.98,209.41,203.6198,208.87,2337628
